sede_id,sede,pais,redes_sociales,iso_3,region_geografica
CALEG,Consulado  General  en  Porto  Alegre,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://twitter.com/ArgPortoAlegre  //  https://www.facebook.com/ArgentinaEnPortoAlegre/  //  https://www.instagram.com/argenportoalegre/  //  ,BRA,AMÉRICA  DEL  SUR
CANTO,Consulado  en  Antofagasta,REPÚBLICA  DE  CHILE,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  //  ,CHL,AMÉRICA  DEL  SUR
CAREN,Consulado  General  en  Punta  Arenas,REPÚBLICA  DE  CHILE,https://www.facebook.com/profile.php?id=100014152878593  //  ,CHL,AMÉRICA  DEL  SUR
CASUN,Consulado  General  en  Asunción,REPÚBLICA  DEL  PARAGUAY,@ArgentinaEnAsuncion  //  ,PRY,AMÉRICA  DEL  SUR
CATLA,Consulado  General  en  Atlanta,Estados  Unidos  de  América,,USA,AMÉRICA  DEL  NORTE
CBARC,Consulado  General  y  Centro  de  Promoción  en  Barcelona,REINO  DE  ESPAÑA,facebook.com/ArgEnBarcelona  //  twitter.com/ARGenBarcelona  //  instagram.com/argenbarcelona  //  Consulado  Argentino  en  Barcelona  //  linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/  //  ,ESP,EUROPA  OCCIDENTAL
CBEIJ,Sección  Consular  en  Beijing,REPÚBLICA  POPULAR  DE  CHINA,,CHN,ASIA
CBELO,Consulado  en  Belo  Horizonte,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://www.facebook.com/ArgentinaEnBeloHorizonte/  //  https://twitter.com/consgralbelo  //  https://www.instagram.com/consgralbelo/  //  ,BRA,AMÉRICA  DEL  SUR
CBONN,Consulado  en  Bonn,REPÚBLICA  FEDERAL  DE  ALEMANIA,https://www.facebook.com/ConsuladoArgentinoenBonn  //  http://www.instagram.com/consulado.argentino.bonn  //  ,DEU,EUROPA  OCCIDENTAL
CCADI,Consulado  en  Cádiz,REINO  DE  ESPAÑA,www.facebook.com/ArgentinaEnCadiz  //  ,ESP,EUROPA  OCCIDENTAL
CCEST,Consulado  General  en  Ciudad  del  Este,REPÚBLICA  DEL  PARAGUAY,https://www.facebook.com/ArgEnCiudaddeleste/  //  https://www.instagram.com/argenciudaddeleste  //  ,PRY,AMÉRICA  DEL  SUR
CCHIC,Consulado  General  en  Chicago,Estados  Unidos  de  América,https://twitter.com/argenchicago  //  https://www.facebook.com/ArgentinaEnChicago  //  https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  //  ,USA,AMÉRICA  DEL  NORTE
CCOCH,Consulado  en  Cochabamba,ESTADO  PLURINACIONAL  DE  BOLIVIA,wwww.facebook.com/ArgentinaEnCochabamba  //  ,BOL,AMÉRICA  DEL  SUR
CCOLO,Consulado  en  Colonia,REPÚBLICA  ORIENTAL  DEL  URUGUAY,https://www.facebook.com/ArgentinaenColonia  //  ,URY,AMÉRICA  DEL  SUR
CCURI,Consulado  en  Curitiba,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://www.facebook.com/ArgEnCuritiba/  //  https://instagram.com/argEncuritiba  //  https://twitter.com/ARGenCuri  //  ,BRA,AMÉRICA  DEL  SUR
CENCA,Consulado  General  en  Encarnación,REPÚBLICA  DEL  PARAGUAY,,PRY,AMÉRICA  DEL  SUR
CFBEN,Consulado  en  Fray  Bentos,REPÚBLICA  ORIENTAL  DEL  URUGUAY,,URY,AMÉRICA  DEL  SUR
CFDIG,Consulado  en  Foz  de  Iguazu,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://twitter.com/argentinaenfoz  //  https://www.facebook.com/ArgentinaEnFozDeIguazu  //  https://www.instagram.com/argentinaenfoz/  //  ,BRA,AMÉRICA  DEL  SUR
CFLOR,Consulado  en  Florianopolis,REPÚBLICA  FEDERATIVA  DEL  BRASIL,@argenflorianopolis  //  https://www.facebook.com/cflor.mrecic.gov.ar  //  ,BRA,AMÉRICA  DEL  SUR
CFRAN,Consulado  General  y  Centro  de  Promoción  en  Francfort,REPÚBLICA  FEDERAL  DE  ALEMANIA,,DEU,EUROPA  OCCIDENTAL
CGEST,Consulado  General  y  Centro  de  Promoción  en  Estambul,República  de  Türkiye,,TUR,EUROPA  OCCIDENTAL
CGMUM,Consulado  General  y  Centro  de  Promoción  en  Mumbai,REPÚBLICA  DE  LA  INDIA,https://www.facebook.com/argenmumbai  //  https://www.instagram.com/argenmumbai  //  https://twitter.com/cgmum1  //  ,IND,ASIA
CGPAZ,Consulado  General  en  La  Paz,ESTADO  PLURINACIONAL  DE  BOLIVIA,,BOL,AMÉRICA  DEL  SUR
CGTEL,Consulado  General  en  Tel  Aviv,ESTADO  DE  ISRAEL,https://www.facebook.com/ArgentinaEnIsrael/  //  ,ISR,ASIA
CGUAN,Consulado  General  en  Guangzhou,REPÚBLICA  POPULAR  DE  CHINA,,CHN,ASIA
CGUAY,Consulado  en  Guayaquil,REPÚBLICA  DEL  ECUADOR,,ECU,AMÉRICA  DEL  SUR
CGVAN,Consulado  General  en  Vancouver,CANADÁ,,CAN,AMÉRICA  DEL  NORTE
CHAMB,Consulado  General  en  Hamburgo,REPÚBLICA  FEDERAL  DE  ALEMANIA,,DEU,EUROPA  OCCIDENTAL
CHONG,Consulado  General  en  Hong  Kong,REPÚBLICA  POPULAR  DE  CHINA,,CHN,ASIA
CHOUS,Consulado  General  en  Houston,Estados  Unidos  de  América,@ARGenHouston  //  https://www.facebook.com/ArgentinaEnHouston/  //  ,USA,AMÉRICA  DEL  NORTE
CJOHA,Consulado  General  en  Johannesburgo,REPÚBLICA  DE  SUDÁFRICA,,ZAF,ÁFRICA  SUBSAHARIANA
CLANG,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,Estados  Unidos  de  América,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel    //  @arg_clang  //  ,USA,AMÉRICA  DEL  NORTE
CLIMA,Consulado  General  en  Lima,REPÚBLICA  DEL  PERÚ,,PER,AMÉRICA  DEL  SUR
CLOND,Consulado  General  en  Londres,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,https://www.instagram.com/consuladoargentinoenlondres/  //  ,GRB,EUROPA  OCCIDENTAL
CMADR,Consulado  General  en  Madrid,REINO  DE  ESPAÑA,https://www.facebook.com/ArgentinaEnMadridEsp/  //  ,ESP,EUROPA  OCCIDENTAL
CMALD,Consulado  en  Maldonado,REPÚBLICA  ORIENTAL  DEL  URUGUAY,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal  //  https://www.instagram.com/consulado_argentino/  //  ,URY,AMÉRICA  DEL  SUR
CMALL,Consulado  en  Palma,REINO  DE  ESPAÑA,https://www.facebook.com/ArgentinaEnPalmaDeMallorca  //  ,ESP,EUROPA  OCCIDENTAL
CMDEO,Consulado  General  en  Montevideo,REPÚBLICA  ORIENTAL  DEL  URUGUAY,https://www.facebook.com/ArgentinaEnMontevideo/  //  ,URY,AMÉRICA  DEL  SUR
CMEXI,Consulado  General  en  México,ESTADOS  UNIDOS  MEXICANOS,,MEX,AMÉRICA  DEL  NORTE
CMIAM,Consulado  General  y  Centro  de  Promoción  en  Miami,Estados  Unidos  de  América,https://es-la.facebook.com/consuladoargentino.miami/  //  consuladoargentinomia  //  @argenmiami  //  ,USA,AMÉRICA  DEL  NORTE
CMILA,Consulado  General  y  Centro  de  Promoción  en  Milán,REPÚBLICA  ITALIANA,https://www.facebook.com/ConsuladoArgentinoenMilan  //  https://www.instagram.com/consuladoargentinoenmilan/  //  https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ  //  ,ITA,EUROPA  OCCIDENTAL
CMREA,Consulado  General  en  Montreal,CANADÁ,,CAN,AMÉRICA  DEL  NORTE
CNYOR,Consulado  General  y  Centro  de  Promoción  en  Nueva  York,Estados  Unidos  de  América,https://www.facebook.com/ARGenNewYork  //  https://twitter.com/ARGenNewYork  //  https://www.instagram.com/argennewyork/  //  https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg  //  ,USA,AMÉRICA  DEL  NORTE
CPABL,Consulado  General  y  Centro  de  Promoción  en  San  Pablo,REPÚBLICA  FEDERATIVA  DEL  BRASIL,consuladoargentinosp@gmail.com  //  ,BRA,AMÉRICA  DEL  SUR
CPAYS,Consulado  en  Paysandú,REPÚBLICA  ORIENTAL  DEL  URUGUAY,,URY,AMÉRICA  DEL  SUR
CPCAR,Consulado  en  Playa  del  Carmen,ESTADOS  UNIDOS  MEXICANOS,,MEX,AMÉRICA  DEL  NORTE
CPMON,Consulado  en  Puerto  Montt,REPÚBLICA  DE  CHILE,https://www.facebook.com/ArgentinaEnPuertoMontt/  //  ,CHL,AMÉRICA  DEL  SUR
CRECI,Consulado  en  Recife,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://www.facebook.com/ArgentinaEnBrasilRecife  //  https://www.instagram.com/consuladoargentinorecife  //  ,BRA,AMÉRICA  DEL  SUR
CRIOJ,Consulado  General  en  Rio  de  Janeiro,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://www.facebook.com/ArgentinaEnRiodeJaneiro/  //  ,BRA,AMÉRICA  DEL  SUR
CROMA,Consulado  General  en  Roma,REPÚBLICA  ITALIANA,@ArgEnRoma  //  @consuladoargentinoenroma  //  ,ITA,EUROPA  OCCIDENTAL
CSBAH,Consulado  en  San  Salvador  de  Bahía,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://www.instagram.com/argentinaensalvador  //  https://www.facebook.com/ArgentinaenSalvador  //  https://twitter.com/ArgentinaEnSSA  //  ,BRA,AMÉRICA  DEL  SUR
CSCRS,Consulado  General  y  Centro  de  Promoción  en  Santa  Cruz,ESTADO  PLURINACIONAL  DE  BOLIVIA,cscrs2018  //  www.facebook.com/ArgEnSantaCruz  de  la  Sierra  //  ,BOL,AMÉRICA  DEL  SUR
CSHAN,Consulado  General  y  Centro  de  Promoción  en  Shanghai,REPÚBLICA  POPULAR  DE  CHINA,,CHN,ASIA
CSIDN,Consulado  General  en  Sidney,AUSTRALIA,https://www.facebook.com/ArgentinaEnSidney/  //  ,AUS,OCEANÍA
CSIGO,Consulado  General  en  Santiago,REPÚBLICA  DE  CHILE,,CHL,AMÉRICA  DEL  SUR
CSLTO,Consulado  en  Salto,REPÚBLICA  ORIENTAL  DEL  URUGUAY,@consuladoargentinoensalto  //  ,URY,AMÉRICA  DEL  SUR
CTARI,Consulado  General  en  Tarija,ESTADO  PLURINACIONAL  DE  BOLIVIA,,BOL,AMÉRICA  DEL  SUR
CTENE,Consulado  en  Tenerife,REINO  DE  ESPAÑA,www.facebook.com/argentinaentenerife  //  ,ESP,EUROPA  OCCIDENTAL
CTORO,Consulado  General  en  Toronto,CANADÁ,https://www.facebook.com/ArgentinaEnToronto/  //  https://www.instagram.com/consuladoargtoronto/  //  ,CAN,AMÉRICA  DEL  NORTE
CURUG,Consulado  en  Uruguayana,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://www.facebook.com/ArgEnUruguayana/  //  https://twitter.com/CURUGoK  //  ,BRA,AMÉRICA  DEL  SUR
CVALP,Consulado  General  en  Valparaíso,REPÚBLICA  DE  CHILE,https://www.facebook.com/ArgentinaEnValparaiso  //  ,CHL,AMÉRICA  DEL  SUR
CVIGO,Consulado  General  en  Vigo,REINO  DE  ESPAÑA,facebook.com/ArgentinaenVigo  //  https://www.instagram.com/argenvigo/  //  ,ESP,EUROPA  OCCIDENTAL
